epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
0,0.1000,1.00e-05,1.272938,1.677645,3.7892,1919.9,49.70
1,0.1000,1.00e-05,1.572136,1.624280,9.4839,1903.9,49.70
2,0.1000,1.00e-05,1.542190,1.590732,8.7579,1903.8,49.70
3,0.1000,1.00e-05,1.525210,1.541366,22.7747,1900.9,49.70
4,0.1000,1.00e-05,1.507795,1.566330,23.2856,1904.3,49.70
5,0.1000,1.00e-05,1.499820,1.538479,46.5294,1901.4,49.70
6,0.1000,1.00e-05,1.493293,1.533305,41.2778,1900.9,49.70
7,0.1000,1.00e-05,1.483579,1.548650,71.7525,1904.0,49.70
8,0.1000,1.00e-05,1.478767,1.549012,79.0668,1900.2,49.70
9,0.1000,1.00e-05,1.474185,1.548865,83.4856,1900.7,49.70
10,0.1000,1.00e-05,1.469119,1.580001,84.0384,1904.2,49.70
11,0.1000,1.00e-05,1.468024,1.560962,87.3245,1900.4,49.70
12,0.1000,1.00e-05,1.464872,1.561361,89.6281,1900.9,49.70
13,0.1000,1.00e-05,1.456814,1.604698,94.1087,1904.1,49.70
14,0.1000,1.00e-05,1.451820,1.627997,93.2736,1900.4,49.70
15,0.3375,1.00e-05,1.414477,1.662534,93.8041,1900.6,49.70
16,0.3375,1.00e-05,1.413656,1.663002,94.0921,1904.4,49.70
17,0.3375,1.00e-05,1.396705,1.758937,94.6908,1901.5,49.70
18,0.3375,1.00e-05,1.374917,1.841466,94.2699,1901.0,49.70
19,0.3375,1.00e-05,1.377526,1.837842,94.4982,1904.4,49.70
20,0.5750,1.00e-05,1.352468,1.823818,94.7318,1900.7,49.70
21,0.5750,1.00e-05,1.346064,1.875990,93.6502,1901.0,49.70
22,0.5750,1.00e-05,1.344510,1.872897,94.9145,1904.8,49.70
23,0.5750,1.00e-05,1.340866,1.881709,95.0303,1900.4,49.70
24,0.5750,1.00e-05,1.339559,1.851307,94.8293,1900.9,49.70
25,0.8125,1.00e-05,1.307959,1.892473,93.6811,1904.3,49.70
26,0.8125,1.00e-05,1.309663,1.813310,94.9534,1900.5,49.70
27,0.8125,1.00e-05,1.303566,1.860345,94.7975,1900.7,49.70
28,0.8125,1.00e-05,1.300935,1.888118,95.1053,1904.3,49.70
29,0.8125,1.00e-05,1.301108,1.884538,95.0116,1900.9,49.70
30,1.0500,1.00e-05,1.267741,1.876396,95.1038,1900.7,49.70
31,1.0500,1.00e-05,1.266917,1.871318,95.0534,1904.4,49.70
32,1.0500,1.00e-05,1.262756,1.890851,95.0362,1900.6,49.70
33,1.0500,1.00e-05,1.267402,1.867319,94.7717,1900.7,49.70
34,1.0500,1.00e-05,1.258217,1.928872,95.4572,1904.4,49.70
35,1.2875,1.00e-05,1.228828,1.876770,95.1130,1900.9,49.70
36,1.2875,1.00e-05,1.228450,1.883194,95.2618,1900.7,49.70
37,1.2875,1.00e-05,1.231519,1.843510,95.5168,1904.1,49.70
38,1.2875,1.00e-05,1.227965,1.890487,95.4560,1900.4,49.70
39,1.2875,1.00e-05,1.232126,1.831342,95.3830,1900.9,49.70
40,1.5250,1.00e-05,1.197221,1.879184,95.2878,1905.0,49.70
41,1.5250,1.00e-05,1.197960,1.837790,95.4271,1900.8,49.70
42,1.5250,1.00e-05,1.191300,1.912963,95.1345,1900.9,49.70
