campione,max_2pct,max_1pct,media_2pct,media_1pct,integrale_2pct,integrale_1pct,p999_2pct,p999_1pct,oracolo_2pct,oracolo_1pct,scalare_oracolo
1,100.0,98.7564,100.0,99.2005,99.7335,97.9347,99.8223,99.1561,99.8445,99.2672,0.96488
2,99.8301,98.3718,99.8584,98.5134,99.8301,98.3718,99.8159,98.1311,99.8301,98.2868,0.99954
3,99.9785,99.3345,99.9785,99.3345,99.9785,99.6994,99.9785,99.6565,99.9785,99.5706,1.0052
4,98.1457,92.4049,98.3705,93.6224,97.7243,90.5319,98.6327,94.7368,98.5484,94.6526,1.01897
5,100.0,99.7721,100.0,99.7721,99.5214,93.4366,99.9772,99.1796,99.9772,99.2252,0.98125
6,99.316,93.6164,99.6865,97.0932,99.7435,97.7771,99.8718,99.0596,99.8433,98.7176,1.02945
7,100.0,97.4455,100.0,98.9857,99.5492,96.2434,99.7746,99.136,99.8497,99.3238,0.96033
8,100.0,99.5169,100.0,99.5706,99.839,97.7992,99.8926,99.0875,99.8926,99.7316,0.96768
9,99.9723,98.9621,99.9585,98.9898,99.9862,98.2978,99.9446,98.8237,99.9031,98.5469,0.98193
10,99.9693,99.7236,99.9693,99.6007,99.0786,90.9244,99.9232,98.9404,99.9232,98.9558,0.98094
11,99.9347,98.792,99.8694,99.1185,99.8041,99.0859,99.7715,98.7594,99.7715,98.89,0.97275
12,99.9387,99.448,99.9693,99.448,99.908,96.0442,99.9387,99.448,99.9387,99.4787,1.00232
13,99.8444,98.755,99.7999,98.7995,99.5331,96.6207,99.6888,98.3104,99.711,98.3326,0.97186
14,96.1537,86.4603,98.7056,94.2795,98.6362,94.0876,99.2732,96.1945,99.1793,96.0271,1.05016
15,99.734,96.7747,99.8005,98.2544,99.7007,96.1264,99.8171,99.0025,99.8005,98.7365,1.01521
16,97.9602,91.9197,98.4503,94.007,96.6635,87.16,98.9405,95.5566,98.9405,95.5092,1.0235
17,99.942,97.5631,99.913,98.3029,98.2013,86.0023,99.8695,97.7952,99.8695,97.9112,0.97015
18,100.0,99.5201,99.9782,99.4983,99.8473,97.9276,99.9127,98.8656,99.9127,98.8438,0.97497
19,95.8682,72.801,99.1635,89.5311,100.0,99.3409,100.0,99.5691,100.0,99.2649,1.06514
20,91.4093,50.4437,93.2197,55.4846,99.8935,96.6986,99.858,96.4501,99.787,95.8821,1.08316
21,99.2495,91.3577,99.6134,94.7692,99.9545,98.317,99.9773,99.1813,99.9773,98.9311,1.03386
22,98.6471,78.0784,99.4497,86.9296,99.8853,95.9184,99.9541,98.7847,99.9083,98.1197,1.04697
23,99.0223,95.4647,99.199,96.2304,98.9398,95.1349,99.3992,96.7723,99.4463,96.9372,1.0128
24,99.7839,96.0975,99.9039,98.3309,99.9039,98.379,99.988,99.4837,99.964,99.2555,1.01892
25,99.9705,98.7023,99.9558,98.8792,99.7346,95.7086,99.8968,98.2303,99.941,98.5695,0.97364
26,99.3579,95.6542,99.4882,96.7895,99.8976,96.957,99.6464,97.3385,99.665,97.4223,1.01552
