sample,ref_max_2pct,ref_max_1pct,ref_p99.9_2pct,ref_p99.9_1pct,base_max_2pct,base_max_1pct,base_p99.9_2pct,base_p99.9_1pct
1,100.0,99.2063,100.0,99.7732,83.5601,57.2562,97.8458,87.7551
2,99.6099,94.7984,99.87,98.4395,96.0338,87.1261,94.7334,85.5657
3,100.0,99.4555,100.0,99.8185,76.588,40.6534,97.3684,86.9328
4,100.0,98.7616,99.6904,97.7554,96.3622,84.5201,93.6533,78.9474
5,100.0,99.3207,100.0,99.4565,97.2826,86.413,97.2826,86.413
6,99.7258,96.6179,99.9086,99.2687,88.2084,63.9854,97.8062,84.1865
7,99.9294,99.435,99.5056,97.5282,97.8814,89.3362,95.904,85.2401
8,99.8851,98.8506,99.8851,98.7356,79.1954,36.2069,98.5057,90.1149
9,98.8243,91.3782,99.6081,98.0405,97.8445,89.288,94.4481,83.9321
10,100.0,99.2963,99.6091,98.3581,93.6669,83.3464,92.7287,80.6099
11,99.5626,99.2126,99.65,99.3001,95.2756,81.6273,94.2257,79.5276
12,99.636,98.8171,99.545,98.5441,66.97,28.4804,92.7207,75.0682
13,88.1921,75.8506,99.8666,99.5997,94.463,81.7879,96.1308,83.9893
14,95.9751,88.9865,99.2682,97.8046,28.2108,4.5737,97.0362,86.4984
15,99.9354,99.5481,99.8709,99.3544,81.6656,51.6462,97.224,85.2808
16,99.0574,90.7455,99.1431,98.8003,78.7489,49.2716,97.7721,82.5193
17,99.697,98.4848,99.6212,98.1818,96.8182,84.1667,97.2727,85.6061
18,99.9104,99.552,99.7312,97.8495,95.4301,85.7527,94.3548,84.2294
19,100.0,99.1243,99.9124,98.7741,96.9352,88.1786,94.8336,82.7496
20,98.2721,93.0166,98.8481,97.9122,91.7207,74.802,96.6883,88.2649
21,100.0,99.897,100.0,99.794,68.6921,32.0288,95.7775,86.8177
22,97.608,94.7508,97.3422,93.6877,94.3522,78.4053,96.0133,84.1196
23,98.2328,95.9171,97.989,95.6124,86.7154,61.2431,96.9531,85.6795
24,100.0,100.0,99.9169,99.6678,88.5382,67.608,95.1827,83.1395
25,96.1025,79.7384,99.7597,95.4618,75.5473,40.4431,92.8724,67.4586
26,99.7387,97.9752,99.8694,98.9549,97.1261,85.6956,95.3625,80.9275
27,99.7956,99.2507,99.3869,98.0245,93.8011,80.109,95.7084,86.5804
28,99.7361,95.6025,100.0,99.5602,86.8953,64.3799,97.0976,87.423
29,99.5844,98.67,99.5844,99.1687,79.7174,38.9859,97.0075,85.9518
30,99.9292,99.4338,99.9292,99.6461,84.7841,53.0786,96.8153,83.1564
31,99.8083,99.1054,99.6166,98.5942,70.0319,29.7764,96.23,83.4505
32,99.7895,97.8246,99.7193,97.8246,98.5263,87.8596,96.9123,85.5439
33,99.5054,93.1575,99.7527,99.3405,97.7741,87.8813,96.8673,85.2432
34,98.1608,83.3106,100.0,99.5913,86.4441,60.2861,94.6185,80.109
35,99.8209,99.5524,99.7314,99.1047,91.5846,69.1137,94.1808,77.5291
36,99.8264,98.3796,99.9421,99.4213,98.206,85.8796,94.9653,82.1759
37,99.8653,99.5286,99.7306,99.1919,95.2189,79.8653,95.2189,81.5488
38,100.0,100.0,99.7945,99.4861,98.3556,88.3864,98.0473,85.5087
39,99.6244,98.0282,99.6244,99.061,91.7371,67.8873,98.6854,90.6103
40,99.6994,95.2906,100.0,99.0982,89.7796,70.7415,96.7936,83.1663
41,99.2614,94.0706,99.3845,94.5014,6.5244,0.8822,92.3677,75.0923
