campione,ref_max_2pct,ref_max_1pct,ref_p99.9_2pct,ref_p99.9_1pct,base_max_2pct,base_max_1pct,base_p99.9_2pct,base_p99.9_1pct
1,100.0,97.9592,100.0,99.6599,83.5601,57.2562,97.8458,87.7551
2,99.6749,97.7243,99.87,99.0897,96.0338,87.1261,94.7334,85.5657
3,100.0,99.9093,100.0,99.3648,76.588,40.6534,97.3684,86.9328
4,100.0,98.2972,99.6904,98.452,96.3622,84.5201,93.6533,78.9474
5,99.8641,98.6413,99.8641,98.6413,97.2826,86.413,97.2826,86.413
6,99.8172,99.1773,99.9086,99.4516,88.2084,63.9854,97.8062,84.1865
7,100.0,99.3644,99.2938,97.387,97.8814,89.3362,95.904,85.2401
8,99.8851,99.4253,99.7701,98.7356,79.1954,36.2069,98.5057,90.1149
9,99.6734,98.759,99.6734,98.6283,97.8445,89.288,94.4481,83.9321
10,100.0,99.8436,99.6091,98.1235,93.6669,83.3464,92.7287,80.6099
11,99.65,99.2126,99.65,98.9501,95.2756,81.6273,94.2257,79.5276
12,99.727,98.8171,99.545,98.0892,66.97,28.4804,92.7207,75.0682
13,97.9987,87.992,99.7999,98.8659,94.463,81.7879,96.1308,83.9893
14,94.8042,88.1449,99.2682,97.951,28.2108,4.5737,97.0362,86.4984
15,99.9354,99.7418,99.8063,99.2253,81.6656,51.6462,97.224,85.2808
16,99.3145,98.886,99.1431,98.7147,78.7489,49.2716,97.7721,82.5193
17,99.8485,98.7121,99.7727,98.1818,96.8182,84.1667,97.2727,85.6061
18,100.0,99.7312,99.4624,97.7599,95.4301,85.7527,94.3548,84.2294
19,100.0,99.9124,99.7373,98.0736,96.9352,88.1786,94.8336,82.7496
20,98.8481,97.6242,98.2721,96.9042,91.7207,74.802,96.6883,88.2649
21,100.0,99.3821,99.794,99.3821,68.6921,32.0288,95.7775,86.8177
22,98.206,95.4817,97.7409,94.8837,94.3522,78.4053,96.0133,84.1196
23,98.7812,97.3187,98.5375,96.6484,86.7154,61.2431,96.9531,85.6795
24,100.0,99.9169,99.8339,99.4186,88.5382,67.608,95.1827,83.1395
25,98.9589,91.0304,99.653,94.5008,75.5473,40.4431,92.8724,67.4586
26,96.6688,83.8014,99.8694,99.0202,97.1261,85.6956,95.3625,80.9275
27,99.8638,99.3188,99.455,97.6158,93.8011,80.109,95.7084,86.5804
28,99.912,99.5602,99.8241,99.4723,86.8953,64.3799,97.0976,87.423
29,99.5012,98.1712,99.5012,98.0881,79.7174,38.9859,97.0075,85.9518
30,99.9292,99.5046,99.9292,99.6461,84.7841,53.0786,96.8153,83.1564
31,99.5527,96.1022,99.6166,97.1885,70.0319,29.7764,96.23,83.4505
32,99.7193,97.7544,99.5789,97.9649,98.5263,87.8596,96.9123,85.5439
33,98.9283,86.15,99.8351,99.1756,97.7741,87.8813,96.8673,85.2432
34,100.0,99.1826,100.0,99.5232,86.4441,60.2861,94.6185,80.109
35,99.9105,99.4628,99.7314,98.8362,91.5846,69.1137,94.1808,77.5291
36,100.0,99.4213,99.7685,98.9005,98.206,85.8796,94.9653,82.1759
37,100.0,99.596,99.9327,98.6532,95.2189,79.8653,95.2189,81.5488
38,100.0,99.8972,99.7945,99.3834,98.3556,88.3864,98.0473,85.5087
39,99.6244,99.2488,99.6244,98.6854,91.7371,67.8873,98.6854,90.6103
40,99.7996,97.0942,100.0,99.2986,89.7796,70.7415,96.7936,83.1663
41,99.364,93.8654,99.3845,93.9475,6.5244,0.8822,92.3677,75.0923
42,100.0,99.8875,99.775,98.8751,67.829,33.1834,94.2632,80.5399
43,100.0,100.0,99.906,99.2481,89.0038,68.703,92.8571,78.2895
44,100.0,100.0,99.8997,99.5988,98.1946,88.3651,97.1916,86.7603
45,99.904,99.2322,99.8081,99.0403,98.7524,86.0845,93.9539,84.453
46,100.0,99.497,99.497,98.4909,99.2958,90.3421,96.4789,84.8089
47,99.7669,98.3683,99.8446,99.3784,83.7607,55.4002,94.4833,80.7304
48,100.0,92.5327,100.0,99.6921,63.9723,22.7868,96.5358,86.6821
49,100.0,99.9038,99.615,99.1338,93.744,82.5794,96.1501,86.718
