campione,rot0_2_2,rot1_2_2,rot2_2_2,rot3_2_2,rot0_1_1,rot1_1_1,rot2_1_1,rot3_1_1,tta_2_2,tta_1_1
1,100.0,100.0,100.0,100.0,97.9592,98.4127,98.1859,94.5578,100.0,97.9592
2,99.6749,99.87,99.87,99.6749,97.7243,99.5449,98.1144,97.0741,99.8049,98.6346
3,100.0,100.0,99.8185,100.0,99.9093,99.5463,97.9129,99.3648,100.0,99.5463
4,100.0,100.0,100.0,100.0,98.2972,92.0279,99.226,97.678,100.0,97.9876
5,99.8641,100.0,99.8641,100.0,98.6413,99.7283,99.3207,99.4565,100.0,99.3207
6,99.8172,99.3601,99.8172,99.6344,99.1773,93.7843,98.1718,97.3492,99.7258,98.0804
7,100.0,100.0,100.0,100.0,99.3644,99.2232,99.3644,99.1525,100.0,99.2938
8,99.8851,99.7701,100.0,99.5402,99.4253,94.8276,99.6552,93.6782,99.7701,98.6207
9,99.6734,99.7387,99.7387,99.7387,98.759,98.9549,98.4324,98.8896,99.7387,99.0856
10,100.0,99.9218,99.7654,99.8436,99.8436,99.5309,98.9054,99.2963,100.0,99.6091
11,99.65,99.7375,99.65,99.65,99.2126,99.4751,99.0376,99.2126,99.65,99.3001
12,99.727,99.636,99.545,99.727,98.8171,98.4531,97.7252,98.9991,99.727,98.7261
13,97.9987,96.7979,99.2662,97.3316,88.0587,85.8572,93.8626,87.1247,97.932,88.459
14,94.8042,96.1581,96.8899,91.5112,88.1449,90.1939,91.6941,83.0955,95.719,89.1694
15,99.9354,99.9354,99.8709,99.9354,99.7418,99.419,99.5481,99.8063,99.9354,99.6127
16,99.3145,99.1431,99.2288,99.1431,98.886,95.2014,98.3719,98.2005,99.2288,98.4576
17,99.8485,99.8485,99.7727,99.8485,98.7121,98.3333,97.9545,98.6364,99.8485,98.5606
18,100.0,100.0,100.0,99.9104,99.7312,99.8208,99.4624,99.3728,100.0,99.552
19,100.0,100.0,99.9124,100.0,99.9124,99.4746,98.0736,99.8249,100.0,99.6497
20,98.8481,98.6321,98.4881,98.4881,97.6242,97.1202,97.5522,96.6163,98.6321,97.5522
21,100.0,100.0,100.0,100.0,99.3821,99.691,99.691,99.691,100.0,99.691
22,98.206,98.206,98.206,97.8073,95.4817,96.0133,95.6146,94.3522,98.206,95.4817
23,98.7812,97.989,98.9031,98.7812,97.3187,93.7843,96.5874,96.7703,98.5375,96.7703
24,100.0,100.0,100.0,100.0,99.9169,100.0,99.8339,99.9169,100.0,99.9169
25,98.9856,99.5195,98.5585,97.464,91.0838,93.78,88.8948,84.9973,99.0657,90.6567
26,96.7342,99.2815,98.1058,99.2162,83.8014,92.8805,90.0065,93.8602,98.6283,90.725
27,99.8638,99.7956,99.7275,99.7275,99.3188,99.3869,99.1144,99.3188,99.7275,99.3869
28,99.912,99.7361,99.8241,99.8241,99.5602,97.4494,97.8892,98.9446,99.8241,98.8566
29,99.5012,99.5012,99.2519,99.5844,98.1712,96.0931,90.5237,97.6725,99.5012,96.7581
30,99.9292,99.9292,99.9292,99.9292,99.5046,99.8585,99.7877,99.6461,99.9292,99.6461
31,99.5527,99.6805,99.7444,99.7444,96.1661,98.2748,98.4665,98.9776,99.7444,98.5942
32,99.7193,99.7193,99.7895,99.6491,97.7544,97.614,97.9649,97.1228,99.7193,97.5439
33,98.9283,97.6917,99.4229,99.5054,86.2325,81.6983,89.1179,92.0033,99.3405,87.1393
34,100.0,97.2071,99.1144,99.3869,99.1826,83.5831,88.4196,88.2153,99.7956,92.2343
35,99.9105,99.6419,99.7314,99.7314,99.4628,97.5828,98.0304,99.0152,99.7314,98.9257
36,100.0,99.9421,100.0,99.537,99.4213,99.3056,99.7106,96.2384,99.9421,99.2477
37,100.0,99.8653,99.8653,99.8653,99.596,99.5286,99.5286,99.596,99.8653,99.5286
38,100.0,100.0,100.0,100.0,99.8972,99.8972,100.0,100.0,100.0,100.0
39,99.6244,99.6244,99.6244,99.6244,99.2488,99.4366,99.3427,99.1549,99.6244,99.3427
40,99.7996,100.0,100.0,99.7996,97.0942,98.3968,99.499,97.495,99.8998,98.3968
41,99.364,99.0562,99.2204,98.2971,93.8859,93.4346,94.3168,90.8904,99.3024,93.9475
42,100.0,100.0,100.0,100.0,99.8875,99.6625,100.0,99.775,100.0,99.8875
43,100.0,100.0,100.0,100.0,100.0,99.812,99.906,99.906,100.0,100.0
44,100.0,100.0,100.0,100.0,100.0,100.0,99.8997,99.8997,100.0,100.0
45,99.904,99.8081,100.0,99.904,99.2322,98.4645,99.0403,99.2322,99.904,99.1363
46,100.0,100.0,100.0,100.0,99.497,99.5976,99.5976,99.6982,100.0,99.5976
47,99.7669,99.8446,99.8446,99.7669,98.3683,98.6014,98.0575,98.0575,99.7669,98.3683
48,100.0,99.5381,99.7691,96.8437,92.5327,88.9145,95.0731,77.8291,99.6151,89.6074
49,100.0,100.0,100.0,100.0,99.9038,99.9038,99.9038,99.4225,100.0,100.0
50,100.0,100.0,100.0,100.0,99.5331,99.6265,99.5331,99.7199,100.0,99.7199
