epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
0,0.1000,1.00e-05,1.019901,1.760344,89.0172,1941.5,49.69
1,0.1000,1.00e-05,1.425118,1.780054,91.9977,1911.6,49.69
2,0.1000,1.00e-05,1.431102,1.785968,93.0067,1907.2,49.69
3,0.1000,1.00e-05,1.426266,1.808599,93.3975,1902.4,49.69
4,0.1000,1.00e-05,1.428266,1.783605,94.0046,1903.2,49.69
5,0.1000,1.00e-05,1.424341,1.805730,93.9617,1906.4,49.69
6,0.1000,1.00e-05,1.421613,1.836694,92.8481,1902.4,49.69
7,0.1000,1.00e-05,1.418039,1.846477,94.1109,1910.8,49.69
8,0.1000,1.00e-05,1.415407,1.856215,94.4874,1905.7,49.69
9,0.1000,1.00e-05,1.418142,1.814791,94.5294,1902.8,49.69
10,0.1000,1.00e-05,1.410142,1.878717,94.6598,1908.3,49.69
11,0.1000,1.00e-05,1.413572,1.868782,94.7318,1905.3,49.69
12,0.1000,1.00e-05,1.408314,1.849519,94.6772,1904.9,49.69
13,0.1000,1.00e-05,1.410401,1.870820,94.5126,1904.0,49.69
14,0.1000,1.00e-05,1.410155,1.852216,94.9039,1906.2,49.69
15,0.3375,1.00e-05,1.375767,1.863927,95.0144,1902.2,49.69
16,0.3375,1.00e-05,1.374554,1.916022,93.4574,1901.9,49.69
17,0.3375,1.00e-05,1.373117,1.870878,94.5909,1907.8,49.69
18,0.3375,1.00e-05,1.368580,1.873747,94.7922,1902.1,49.69
19,0.3375,1.00e-05,1.368961,1.896034,94.7571,1901.7,49.69
20,0.5750,1.00e-05,1.335384,1.882012,95.1298,1905.7,49.69
21,0.5750,1.00e-05,1.333244,1.865380,94.9881,1902.8,49.69
22,0.5750,1.00e-05,1.337161,1.861383,94.6436,1913.0,49.69
23,0.5750,1.00e-05,1.331604,1.890933,94.5823,1909.4,49.69
24,0.5750,1.00e-05,1.332397,1.872334,95.1819,1902.4,49.69
25,0.8125,1.00e-05,1.298311,1.853496,94.8542,1907.5,49.69
26,0.8125,1.00e-05,1.301129,1.846246,94.9811,1905.6,49.69
27,0.8125,1.00e-05,1.298542,1.865536,94.8960,1902.2,49.69
28,0.8125,1.00e-05,1.291980,1.877621,95.4809,1907.3,49.69
29,0.8125,1.00e-05,1.292771,1.871649,95.2397,1906.4,49.69
30,1.0500,1.00e-05,1.262481,1.854864,95.1046,1902.1,49.69
31,1.0500,1.00e-05,1.260825,1.860546,95.0934,1902.0,49.69
32,1.0500,1.00e-05,1.260846,1.840554,95.1978,1906.0,49.69
33,1.0500,1.00e-05,1.254375,1.874813,95.4466,1902.0,49.69
34,1.0500,1.00e-05,1.257664,1.863940,94.9836,1908.4,49.69
35,1.2875,1.00e-05,1.226616,1.859639,95.1228,1905.1,49.69
36,1.2875,1.00e-05,1.222940,1.862922,95.3220,1902.5,49.69
37,1.2875,1.00e-05,1.220415,1.923876,94.3806,1902.5,49.69
38,1.2875,1.00e-05,1.220941,1.846911,95.3802,1905.4,49.69
39,1.2875,7.00e-06,1.216566,1.895727,95.3606,1901.8,49.69
40,1.5250,7.00e-06,1.184272,1.860762,95.3107,1903.8,49.69
41,1.5250,7.00e-06,1.182211,1.862797,95.3565,1905.5,49.69
42,1.5250,7.00e-06,1.174711,1.912892,95.5051,1904.3,49.69
43,1.6675,7.00e-06,1.160681,1.898311,95.5603,1920.8,49.69
44,1.6675,7.00e-06,1.159745,1.869566,95.4389,1899.5,49.69
45,1.6675,7.00e-06,1.158698,1.884902,95.4671,1907.3,49.69
46,1.6675,7.00e-06,1.164958,1.865851,94.9371,1901.6,49.69
47,1.6675,7.00e-06,1.157633,1.877388,95.5021,1901.2,49.69
48,1.9050,7.00e-06,1.133342,1.851228,95.6707,1906.4,49.69
49,1.9050,7.00e-06,1.134766,1.842604,95.5619,1902.3,49.69
50,1.9050,7.00e-06,1.126751,1.888183,95.4911,1905.5,49.69
51,1.9050,7.00e-06,1.132673,1.877236,95.5223,1919.1,49.69
